LINE NO    TOKEN               parentNode symbol   			isLeafNode          Node symbol    
0			TK_SEM                   assignmentStmt           YES			TK_SEM                   
8			--------				iterativeStmt              NO			otherStmts               
8			--------				otherStmts                 NO			stmt                     
8			--------				stmt                       NO			assignmentStmt           
8			--------				assignmentStmt             NO			singleOrRecId            
0			TK_ID                    singleOrRecId            YES			TK_ID                    
8			--------				singleOrRecId              NO			singlePart               
0			EPS                      singlePart               YES			EPS                      
0			TK_ASSIGNOP              assignmentStmt           YES			TK_ASSIGNOP              
8			--------				assignmentStmt             NO			arithmeticExpression     
8			--------				arithmeticExpression       NO			term                     
8			--------				term                       NO			factor                   
8			--------				factor                     NO			all                      
0			TK_ID                    all                      YES			TK_ID                    
8			--------				all                        NO			temp                     
0			EPS                      temp                     YES			EPS                      
8			--------				term                       NO			termPrime                
0			EPS                      termPrime                YES			EPS                      
8			--------				arithmeticExpression       NO			expPrime                 
8			--------				expPrime                   NO			lowPrecedenceOperators   
0			TK_PLUS                  lowPrecedenceOperators   YES			TK_PLUS                  
7			--------				expPrime                   NO			term                     
7			--------				term                       NO			factor                   
7			--------				factor                     NO			all                      
0			TK_NUM                   all                      YES			TK_NUM                   
7			--------				term                       NO			termPrime                
0			EPS                      termPrime                YES			EPS                      
7			--------				expPrime                   NO			expPrime                 
0			EPS                      expPrime                 YES			EPS                      
0			TK_SEM                   assignmentStmt           YES			TK_SEM                   
9			--------				otherStmts                 NO			otherStmts               
0			EPS                      otherStmts               YES			EPS                      
0			TK_ENDWHILE              iterativeStmt            YES			TK_ENDWHILE              
10			--------				otherStmts                 NO			otherStmts               
10			--------				otherStmts                 NO			stmt                     
10			--------				stmt                       NO			ioStmt                   
0			TK_WRITE                 ioStmt                   YES			TK_WRITE                 
0			TK_OP                    ioStmt                   YES			TK_OP                    
10			--------				ioStmt                     NO			all                      
0			TK_ID                    all                      YES			TK_ID                    
10			--------				all                        NO			temp                     
0			EPS                      temp                     YES			EPS                      
0			TK_CL                    ioStmt                   YES			TK_CL                    
0			TK_SEM                   ioStmt                   YES			TK_SEM                   
10			--------				otherStmts                 NO			otherStmts               
0			EPS                      otherStmts               YES			EPS                      
10			--------				stmts                      NO			returnStmt               
0			TK_RETURN                returnStmt               YES			TK_RETURN                
10			--------				returnStmt                 NO			optionalReturn           
0			EPS                      optionalReturn           YES			EPS                      
0			TK_SEM                   returnStmt               YES			TK_SEM                   
0			TK_END                   mainFunction             YES			TK_END                   
